Status,class,category,fdc_id,data_type,description
,,,172192,sr_legacy_food,"Egg, turkey, whole, fresh, raw"
,,,172183,sr_legacy_food,"Egg, white, raw, fresh"
,,,172203,sr_legacy_food,"Egg, white, raw, frozen, pasteurized"
,,,171287,sr_legacy_food,"Egg, whole, raw, fresh"
,,,172202,sr_legacy_food,"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)"
,,,170893,sr_legacy_food,"Egg, whole, raw, frozen, salted, pasteurized"
,,,172184,sr_legacy_food,"Egg, yolk, raw, fresh"
,,,173421,sr_legacy_food,"Egg, yolk, raw, frozen, pasteurized"
,,,173436,sr_legacy_food,"Egg, yolk, raw, frozen, salted, pasteurized"
,,,173422,sr_legacy_food,"Egg, yolk, raw, frozen, sugared, pasteurized"
,,,1103353,survey_fndds_food,"Eggplant, raw"
,,,169228,sr_legacy_food,"Eggplant, raw"
,,,747997,foundation_food,"Eggs, Grade A, Large, egg white"
,,,748967,foundation_food,"Eggs, Grade A, Large, egg whole"
,,,748236,foundation_food,"Eggs, Grade A, Large, egg yolk"
,,,171727,sr_legacy_food,"Elderberries, raw"
,,,168412,sr_legacy_food,"Endive, raw"
,,,169398,sr_legacy_food,"Epazote, raw"
,,,170078,sr_legacy_food,"Eppaw, raw"
,,,168176,sr_legacy_food,"Feijoa, raw"
,,,1103347,survey_fndds_food,"Fennel bulb, raw"
,,,169385,sr_legacy_food,"Fennel, bulb, raw"
,,,169405,sr_legacy_food,"Fiddlehead ferns, raw"
,,,1102663,survey_fndds_food,"Fig, raw"
,,,746768,foundation_food,"Figs, dried, uncooked"
,,,173021,sr_legacy_food,"Figs, raw"
,,,169399,sr_legacy_food,"Fireweed, leaves, raw"
,,,1104705,foundation_food,"Flour, soy, defatted"
,,,1104766,foundation_food,"Flour, soy, full-fat"
,,,1104647,foundation_food,"Garlic, raw"
,,,1103354,survey_fndds_food,"Garlic, raw"
,,,169230,sr_legacy_food,"Garlic, raw"
,,,169231,sr_legacy_food,"Ginger root, raw"
,,,173030,sr_legacy_food,"Gooseberries, raw"
,,,168414,sr_legacy_food,"Gourd, dishcloth (towelgourd), raw"
,,,169232,sr_legacy_food,"Gourd, white-flowered (calabash), raw"
,,,2003592,foundation_food,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable"
,,,2003593,foundation_food,"Grape juice, white, with added vitamin C, from concentrate, shelf stable"
,,,168575,sr_legacy_food,"Grape leaves, raw"
,,,167774,sr_legacy_food,"Grapefruit juice, pink, raw"
,,,2003595,foundation_food,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated"
,,,325287,foundation_food,"Grapefruit juice, white, canned or bottled, unsweetened"
,,,173039,sr_legacy_food,"Grapefruit juice, white, raw"
,,,1102591,survey_fndds_food,"Grapefruit, raw"
,,,173033,sr_legacy_food,"Grapefruit, raw, pink and red and white, all areas"
